,latitude,longitude
0,26.9214812,-80.3059475
1,26.9214818,-80.3059473
2,26.9214823,-80.3059471
3,26.9214828,-80.305947
4,26.9214834,-80.3059468
5,26.9214839,-80.3059466
6,26.9214844,-80.3059465
7,26.921485,-80.3059463
8,26.9214855,-80.3059461
9,26.9214861,-80.305946
10,26.9214866,-80.3059458
11,26.9214871,-80.3059456
12,26.9214877,-80.3059454
13,26.9214882,-80.3059452
14,26.9214887,-80.305945
15,26.9214893,-80.3059449
16,26.9214898,-80.3059447
17,26.9214903,-80.3059445
18,26.921491,-80.3059444
19,26.9214915,-80.3059442
20,26.9214921,-80.305944
21,26.9214926,-80.3059439
22,26.9214931,-80.3059437
23,26.9214937,-80.3059435
24,26.9214943,-80.3059434
25,26.9214948,-80.3059432
26,26.9214954,-80.305943
27,26.921496,-80.3059429
28,26.9214965,-80.3059427
29,26.9214971,-80.3059425
30,26.9214976,-80.3059424
31,26.9214981,-80.3059422
32,26.9214987,-80.305942
33,26.9214993,-80.3059419
34,26.9214998,-80.3059417
35,26.9215004,-80.3059415
36,26.921501,-80.3059414
37,26.9215015,-80.3059412
38,26.9215021,-80.305941
39,26.9215027,-80.3059409
40,26.9215032,-80.3059407
41,26.9215038,-80.3059405
42,26.9215045,-80.3059405
43,26.921505,-80.3059403
44,26.9215056,-80.3059401
45,26.9215062,-80.30594
46,26.9215062,-80.30594
47,26.9215068,-80.3059398
48,26.921508,-80.3059395
49,26.9215086,-80.3059393
50,26.9215092,-80.3059391
51,26.9215098,-80.305939
52,26.9215104,-80.3059388
53,26.921511,-80.3059386
54,26.9215116,-80.3059386
55,26.9215122,-80.3059384
56,26.9215128,-80.3059382
57,26.9215135,-80.3059381
58,26.9215141,-80.3059379
59,26.9215147,-80.3059377
60,26.9215154,-80.3059376
61,26.921516,-80.3059374
62,26.9215166,-80.3059372
63,26.9215173,-80.3059372
64,26.9215179,-80.305937
65,26.9215185,-80.3059368
66,26.9215193,-80.3059367
67,26.9215199,-80.3059365
68,26.9215206,-80.3059363
69,26.9215213,-80.3059362
70,26.9215219,-80.305936
71,26.9215226,-80.3059359
72,26.9215233,-80.3059358
73,26.9215239,-80.3059356
74,26.9215246,-80.3059355
75,26.9215253,-80.3059353
76,26.9215259,-80.3059351
77,26.9215266,-80.305935
78,26.9215273,-80.3059348
79,26.921528,-80.3059346
80,26.9215286,-80.3059345
81,26.9215294,-80.3059344
82,26.9215301,-80.3059342
83,26.9215307,-80.3059341
84,26.9215315,-80.3059339
85,26.9215322,-80.3059337
86,26.9215328,-80.3059336
87,26.9215335,-80.3059335
88,26.9215342,-80.3059333
89,26.9215348,-80.3059332
90,26.9215356,-80.305933
91,26.9215363,-80.3059328
92,26.921537,-80.3059327
93,26.9215377,-80.3059326
94,26.9215384,-80.3059324
95,26.9215391,-80.3059323
96,26.9215399,-80.3059322
97,26.9215406,-80.305932
98,26.9215413,-80.3059319
99,26.921542,-80.3059317
100,26.9215427,-80.3059315
101,26.9215434,-80.3059314
102,26.9215442,-80.3059313
103,26.9215449,-80.3059311
104,26.9215456,-80.305931
105,26.9215464,-80.3059309
106,26.9215471,-80.3059307
107,26.9215478,-80.3059306
108,26.9215485,-80.3059304
109,26.9215492,-80.3059302
110,26.9215499,-80.3059301
111,26.9215506,-80.3059299
112,26.9215508,-80.30593
113,26.9215515,-80.3059298
114,26.921553,-80.3059295
115,26.9215537,-80.3059293
116,26.9215545,-80.3059292
117,26.9215552,-80.3059291
118,26.9215559,-80.3059289
119,26.9215567,-80.3059288
120,26.9215575,-80.3059287
121,26.9215582,-80.3059285
122,26.921559,-80.3059284
123,26.9215598,-80.3059282
124,26.9215606,-80.305928
125,26.9215613,-80.3059279
126,26.9215621,-80.3059278
127,26.9215629,-80.3059276
128,26.9215636,-80.3059275
129,26.9215644,-80.3059273
130,26.9215652,-80.3059271
131,26.9215659,-80.305927
132,26.9215668,-80.3059269
133,26.9215676,-80.3059267
134,26.9215683,-80.3059266
135,26.9215691,-80.3059264
136,26.9215699,-80.3059262
137,26.9215707,-80.3059261
138,26.9215715,-80.305926
139,26.9215723,-80.3059258
140,26.9215731,-80.3059257
141,26.9215739,-80.3059255
142,26.9215747,-80.3059253
143,26.9215755,-80.3059252
144,26.9215763,-80.3059251
145,26.9215771,-80.3059249
146,26.9215779,-80.3059248
147,26.9215787,-80.3059247
148,26.9215795,-80.3059245
149,26.9215803,-80.3059244
150,26.9215812,-80.3059242
151,26.921582,-80.305924
152,26.9215828,-80.3059239
153,26.9215836,-80.3059238
154,26.9215844,-80.3059236
155,26.9215852,-80.3059235
156,26.9215861,-80.3059233
157,26.9215869,-80.3059231
158,26.9215877,-80.305923
159,26.9215886,-80.3059229
160,26.9215894,-80.3059227
161,26.9215903,-80.3059226
162,26.9215911,-80.3059224
163,26.9215919,-80.3059222
164,26.9215928,-80.3059221
165,26.9215936,-80.305922
166,26.9215945,-80.3059218
167,26.9215953,-80.3059217
168,26.9215961,-80.3059215
169,26.921597,-80.3059213
170,26.9215978,-80.3059212
171,26.9215986,-80.3059211
172,26.9215995,-80.3059209
173,26.9216003,-80.3059208
174,26.9216012,-80.3059206
175,26.9216021,-80.3059204
176,26.9216029,-80.3059203
177,26.9216037,-80.3059202
178,26.9216046,-80.30592
179,26.9216054,-80.3059199
180,26.9216063,-80.3059197
181,26.9216072,-80.3059195
182,26.921608,-80.3059194
183,26.9216089,-80.3059193
184,26.9216098,-80.3059191
185,26.9216106,-80.305919
186,26.9216115,-80.3059188
187,26.9216115,-80.3059189
188,26.9216124,-80.3059187
189,26.9216141,-80.3059184
190,26.921615,-80.3059182
191,26.9216159,-80.3059181
192,26.9216167,-80.305918
193,26.9216176,-80.3059178
194,26.9216185,-80.3059177
195,26.9216194,-80.3059175
196,26.9216203,-80.3059173
197,26.9216212,-80.3059172
198,26.921622,-80.3059171
199,26.9216229,-80.3059169
200,26.9216238,-80.3059168
201,26.9216247,-80.3059167
202,26.9216256,-80.3059165
203,26.9216265,-80.3059164
204,26.9216274,-80.3059163
205,26.9216283,-80.3059161
206,26.9216292,-80.305916
207,26.9216301,-80.3059158
208,26.921631,-80.3059156
209,26.9216319,-80.3059155
210,26.9216329,-80.3059154
211,26.9216337,-80.3059152
212,26.9216346,-80.3059151
213,26.9216356,-80.305915
214,26.9216365,-80.3059148
215,26.9216374,-80.3059147
216,26.9216383,-80.3059146
217,26.9216392,-80.3059144
218,26.9216401,-80.3059143
219,26.9216411,-80.3059142
220,26.921642,-80.305914
221,26.9216429,-80.3059139
222,26.9216439,-80.3059138
223,26.9216448,-80.3059136
224,26.9216457,-80.3059135
225,26.9216466,-80.3059133
226,26.9216475,-80.3059131
227,26.9216484,-80.305913
228,26.9216494,-80.3059129
229,26.9216503,-80.3059127
230,26.9216512,-80.3059126
231,26.9216522,-80.3059125
232,26.9216531,-80.3059123
233,26.921654,-80.3059122
234,26.921655,-80.3059121
235,26.9216559,-80.3059119
236,26.9216579,-80.3059117
237,26.9216588,-80.3059115
238,26.9216597,-80.3059114
239,26.9216607,-80.3059113
240,26.9216607,-80.3059113
241,26.9216616,-80.3059111
242,26.9216625,-80.305911
243,26.9216635,-80.3059109
244,26.9216644,-80.3059107
245,26.9216653,-80.3059106
246,26.9216663,-80.3059105
247,26.9216672,-80.3059103
248,26.9216681,-80.3059102
249,26.9216691,-80.30591
250,26.92167,-80.3059098
251,26.9216709,-80.3059097
252,26.9216718,-80.3059096
253,26.9216719,-80.3059096
254,26.9216728,-80.3059094
255,26.9216747,-80.3059092
256,26.9216756,-80.305909
257,26.9216765,-80.3059089
258,26.9216775,-80.3059088
259,26.9216784,-80.3059086
260,26.9216793,-80.3059085
261,26.9216803,-80.3059085
262,26.9216812,-80.3059083
263,26.9216821,-80.3059082
264,26.921683,-80.3059081
265,26.9216831,-80.3059081
266,26.921684,-80.3059079
267,26.9216859,-80.3059077
268,26.9216868,-80.3059075
269,26.9216877,-80.3059074
270,26.9216887,-80.3059073
271,26.9216896,-80.3059071
272,26.9216905,-80.305907
273,26.9216914,-80.3059069
274,26.9216923,-80.3059067
275,26.9216932,-80.3059066
276,26.9216942,-80.3059065
277,26.9216951,-80.3059063
278,26.921696,-80.3059062
279,26.921697,-80.3059061
280,26.9216979,-80.3059059
281,26.9216988,-80.3059058
282,26.9216998,-80.3059057
283,26.9217007,-80.3059055
284,26.9217016,-80.3059054
285,26.9217025,-80.3059053
286,26.9217025,-80.3059053
287,26.9217034,-80.3059051
288,26.9217053,-80.305905
289,26.9217062,-80.3059048
290,26.9217071,-80.3059047
291,26.921708,-80.3059046
292,26.9217089,-80.3059044
293,26.9217098,-80.3059043
294,26.9217108,-80.3059042
295,26.9217117,-80.305904
296,26.9217126,-80.3059039
297,26.9217136,-80.3059038
298,26.9217145,-80.3059036
299,26.9217154,-80.3059035
300,26.9217163,-80.3059034
301,26.9217172,-80.3059032
302,26.9217181,-80.3059031
303,26.921719,-80.305903
304,26.9217199,-80.3059028
305,26.9217208,-80.3059027
306,26.9217217,-80.3059026
307,26.9217226,-80.3059025
308,26.9217235,-80.3059023
309,26.921719,-80.305903
310,26.9217199,-80.3059028
311,26.9217208,-80.3059027
312,26.9217273,-80.3059019
313,26.9217282,-80.3059017
314,26.9217291,-80.3059016
315,26.92173,-80.3059016
316,26.9217309,-80.3059014
317,26.9217318,-80.3059013
318,26.9217327,-80.3059012
319,26.9217336,-80.305901
320,26.9217345,-80.3059009
321,26.9217355,-80.3059008
322,26.9217364,-80.3059006
323,26.9217373,-80.3059005
324,26.9217382,-80.3059005
325,26.9217391,-80.3059003
326,26.92174,-80.3059002
327,26.9217409,-80.3059001
328,26.9217418,-80.3058999
329,26.9217427,-80.3058998
330,26.9217436,-80.3058998
331,26.9217445,-80.3058996
332,26.9217454,-80.3058995
333,26.9217464,-80.3058994
334,26.9217473,-80.3058993
335,26.9217482,-80.3058991
336,26.9217491,-80.3058991
337,26.92175,-80.3058989
338,26.9217509,-80.3058988
339,26.9217518,-80.3058988
340,26.9217527,-80.3058986
341,26.9217535,-80.3058985
342,26.9217545,-80.3058984
343,26.9217553,-80.3058983
344,26.9217562,-80.3058981
345,26.9217572,-80.3058981
346,26.921758,-80.305898
347,26.9217589,-80.3058978
348,26.9217598,-80.3058978
349,26.9217606,-80.3058977
350,26.9217615,-80.3058975
351,26.9217624,-80.3058974
352,26.9217633,-80.3058973
353,26.9217642,-80.3058971
354,26.9217651,-80.3058971
355,26.921766,-80.305897
356,26.9217669,-80.3058968
357,26.9217678,-80.3058968
358,26.9217687,-80.3058967
359,26.9217696,-80.3058965
360,26.9217705,-80.3058965
361,26.9217714,-80.3058964
362,26.9217723,-80.3058962
363,26.9217732,-80.3058961
364,26.9217731,-80.3058962
365,26.921774,-80.3058961
366,26.9217758,-80.3058959
367,26.9217767,-80.3058958
368,26.9217776,-80.3058957
369,26.9217785,-80.3058957
370,26.9217794,-80.3058956
371,26.9217803,-80.3058955
372,26.9217811,-80.3058954
373,26.921782,-80.3058953
374,26.9217829,-80.3058952
375,26.9217838,-80.3058951
376,26.9217838,-80.3058951
377,26.9217847,-80.305895
378,26.9217865,-80.3058948
379,26.9217874,-80.3058947
380,26.9217883,-80.3058946
381,26.9217891,-80.3058945
382,26.92179,-80.3058944
383,26.9217909,-80.3058943
384,26.9217918,-80.3058942
385,26.9217927,-80.3058941
386,26.9217936,-80.305894
387,26.9217944,-80.3058939
388,26.9217953,-80.3058938
389,26.9217962,-80.3058937
390,26.9217971,-80.3058937
391,26.921798,-80.3058936
392,26.9217989,-80.3058935
393,26.9217997,-80.3058934
394,26.9218006,-80.3058933
395,26.9218015,-80.3058932
396,26.9218023,-80.3058931
397,26.9218032,-80.305893
398,26.9218041,-80.3058928
399,26.9218049,-80.3058928
400,26.9218058,-80.3058927
401,26.9218067,-80.3058925
402,26.9218075,-80.3058925
403,26.9218084,-80.3058924
404,26.9218093,-80.3058922
405,26.9218101,-80.3058922
406,26.921811,-80.3058921
407,26.9218119,-80.3058919
408,26.9218127,-80.3058918
409,26.9218128,-80.305892
410,26.9218137,-80.3058919
411,26.9218154,-80.3058917
412,26.9218163,-80.3058916
413,26.9218172,-80.3058914
414,26.921818,-80.3058913
415,26.9218189,-80.3058912
416,26.9218198,-80.3058911
417,26.9218206,-80.3058911
418,26.9218215,-80.305891
419,26.9218224,-80.3058908
420,26.9218232,-80.3058908
421,26.9218241,-80.3058907
422,26.921825,-80.3058905
423,26.9218258,-80.3058905
424,26.9218267,-80.3058904
425,26.9218276,-80.3058902
426,26.9218284,-80.3058902
427,26.9218293,-80.3058901
428,26.9218301,-80.3058899
429,26.9218309,-80.3058899
430,26.9218318,-80.3058898
431,26.9218326,-80.3058896
432,26.9218335,-80.3058896
433,26.9218344,-80.3058895
434,26.9218352,-80.3058893
435,26.9218361,-80.3058893
436,26.921837,-80.3058892
437,26.9218378,-80.305889
438,26.9218387,-80.305889
439,26.9218396,-80.3058888
440,26.9218404,-80.3058887
441,26.9218413,-80.3058887
442,26.9218422,-80.3058885
443,26.921843,-80.3058884
444,26.9218438,-80.3058884
445,26.9218447,-80.3058882
446,26.9218455,-80.3058881
447,26.9218464,-80.305888
448,26.9218473,-80.3058878
449,26.9218481,-80.3058877
450,26.921849,-80.3058877
451,26.9218499,-80.3058875
452,26.9218507,-80.3058874
453,26.9218516,-80.3058873
454,26.9218524,-80.3058872
455,26.9218533,-80.3058871
456,26.9218541,-80.3058871
457,26.921855,-80.3058869
458,26.9218558,-80.3058868
459,26.9218567,-80.3058867
460,26.9218567,-80.3058868
461,26.9218576,-80.3058866
462,26.9218592,-80.3058865
463,26.9218601,-80.3058863
464,26.9218609,-80.3058862
465,26.9218618,-80.3058862
466,26.9218627,-80.305886
467,26.9218635,-80.3058859
468,26.9218643,-80.3058859
469,26.9218652,-80.3058857
470,26.921866,-80.3058856
471,26.9218669,-80.3058855
472,26.9218678,-80.3058853
473,26.9218686,-80.3058852
474,26.9218694,-80.3058852
475,26.9218703,-80.305885
476,26.9218711,-80.3058849
477,26.9218719,-80.3058849
478,26.9218728,-80.3058847
479,26.9218736,-80.3058846
480,26.9218745,-80.3058846
481,26.9218754,-80.3058844
482,26.9218762,-80.3058843
483,26.921877,-80.3058842
484,26.9218779,-80.305884
485,26.9218787,-80.3058839
486,26.9218796,-80.3058839
487,26.9218805,-80.3058837
488,26.9218813,-80.3058836
489,26.9218821,-80.3058836
490,26.921883,-80.3058834
491,26.9218838,-80.3058833
492,26.9218847,-80.3058833
493,26.9218856,-80.3058831
494,26.9218864,-80.305883
495,26.9218872,-80.3058829
496,26.9218872,-80.3058829
497,26.9218881,-80.3058827
498,26.9218898,-80.3058826
499,26.9218907,-80.3058824
500,26.9218915,-80.3058823
501,26.9218923,-80.3058822
502,26.9218932,-80.305882
503,26.921894,-80.3058819
504,26.9218949,-80.3058819
505,26.9218958,-80.3058817
506,26.9218966,-80.3058816
507,26.9218975,-80.3058816
508,26.9218984,-80.3058814
509,26.9218992,-80.3058813
510,26.9219,-80.3058812
511,26.9219009,-80.305881
512,26.9219017,-80.3058809
513,26.9219026,-80.3058809
514,26.9219035,-80.3058807
515,26.9219043,-80.3058806
516,26.9219052,-80.3058806
517,26.9219061,-80.3058804
518,26.9219069,-80.3058803
519,26.9219077,-80.3058802
520,26.9219086,-80.30588
521,26.9219094,-80.3058799
522,26.9219103,-80.3058799
523,26.9219112,-80.3058797
524,26.921912,-80.3058796
525,26.9219129,-80.3058795
526,26.9219138,-80.3058793
527,26.9219146,-80.3058792
528,26.9219155,-80.3058792
529,26.9219164,-80.305879
530,26.9219172,-80.3058789
531,26.9219181,-80.3058788
532,26.921919,-80.3058786
533,26.9219198,-80.3058785
534,26.9219207,-80.3058785
535,26.9219216,-80.3058783
536,26.9219224,-80.3058782
537,26.9219233,-80.3058781
538,26.9219242,-80.3058779
539,26.9219251,-80.3058778
540,26.9219259,-80.3058778
541,26.9219268,-80.3058776
542,26.9219277,-80.3058775
543,26.9219285,-80.3058774
544,26.9219294,-80.3058772
545,26.9219303,-80.3058771
546,26.9219312,-80.3058771
547,26.9219321,-80.3058769
548,26.921933,-80.3058768
549,26.9219338,-80.3058767
550,26.9219339,-80.3058767
551,26.9219347,-80.3058765
552,26.9219365,-80.3058764
553,26.9219373,-80.3058762
554,26.9219382,-80.3058761
555,26.9219392,-80.305876
556,26.92194,-80.3058758
557,26.9219409,-80.3058757
558,26.9219418,-80.3058756
559,26.9219426,-80.3058754
560,26.9219435,-80.3058753
561,26.9219445,-80.3058753
562,26.9219453,-80.3058751
563,26.9219462,-80.305875
564,26.9219472,-80.3058749
565,26.921948,-80.3058747
566,26.9219489,-80.3058746
567,26.9219499,-80.3058746
568,26.9219507,-80.3058744
569,26.9219516,-80.3058743
570,26.9219526,-80.3058742
571,26.9219534,-80.305874
572,26.9219543,-80.3058739
573,26.9219552,-80.3058738
574,26.9219561,-80.3058737
575,26.921957,-80.3058735
576,26.921958,-80.3058735
577,26.9219589,-80.3058733
578,26.9219597,-80.3058732
579,26.9219607,-80.3058732
580,26.9219616,-80.305873
581,26.9219625,-80.3058729
582,26.9219633,-80.3058728
583,26.9219634,-80.3058728
584,26.9219643,-80.3058726
585,26.9219661,-80.3058725
586,26.921967,-80.3058723
587,26.9219679,-80.3058722
588,26.9219689,-80.3058721
589,26.9219698,-80.3058719
590,26.9219707,-80.3058718
591,26.9219716,-80.3058718
592,26.9219725,-80.3058716
593,26.9219734,-80.3058715
594,26.9219744,-80.3058714
595,26.9219753,-80.3058712
596,26.9219762,-80.3058711
597,26.9219772,-80.305871
598,26.9219781,-80.3058708
599,26.921979,-80.3058707
600,26.9219799,-80.3058707
601,26.9219808,-80.3058705
602,26.9219817,-80.3058704
603,26.9219827,-80.3058703
604,26.9219836,-80.3058701
605,26.9219845,-80.30587
606,26.9219855,-80.3058699
607,26.9219864,-80.3058697
608,26.9219873,-80.3058696
609,26.9219883,-80.3058696
610,26.9219892,-80.3058694
611,26.9219901,-80.3058693
612,26.9219911,-80.3058692
613,26.921992,-80.305869
614,26.9219929,-80.3058689
615,26.9219939,-80.3058688
616,26.9219948,-80.3058686
617,26.9219957,-80.3058685
618,26.9219968,-80.3058685
619,26.9219977,-80.3058683
620,26.9219986,-80.3058682
621,26.9219996,-80.3058681
622,26.9220005,-80.3058679
623,26.9220014,-80.3058678
624,26.9220024,-80.3058677
625,26.9220033,-80.3058675
626,26.9220042,-80.3058674
627,26.9220053,-80.3058674
628,26.9220062,-80.3058672
629,26.9220072,-80.3058671
630,26.9220081,-80.305867
631,26.922009,-80.3058668
632,26.92201,-80.3058667
633,26.922011,-80.3058666
634,26.9220119,-80.3058664
635,26.9220129,-80.3058663
636,26.9220139,-80.3058663
637,26.9220148,-80.3058661
638,26.9220158,-80.305866
639,26.9220167,-80.3058659
640,26.9220176,-80.3058657
641,26.9220186,-80.3058656
642,26.9220196,-80.3058656
643,26.9220205,-80.3058654
644,26.9220215,-80.3058653
645,26.9220225,-80.3058652
646,26.9220234,-80.305865
647,26.9220244,-80.3058649
648,26.9220254,-80.3058648
649,26.9220263,-80.3058646
650,26.9220273,-80.3058645
651,26.9220284,-80.3058645
652,26.9220293,-80.3058643
653,26.9220303,-80.3058642
654,26.9220313,-80.3058641
655,26.9220323,-80.3058639
656,26.9220332,-80.3058638
657,26.9220342,-80.3058637
658,26.9220352,-80.3058635
659,26.9220361,-80.3058634
660,26.9220372,-80.3058634
661,26.9220382,-80.3058633
662,26.9220391,-80.3058631
663,26.9220401,-80.305863
664,26.9220411,-80.3058628
665,26.922042,-80.3058627
666,26.9220431,-80.3058627
667,26.9220441,-80.3058626
668,26.922045,-80.3058624
669,26.922046,-80.3058623
670,26.922047,-80.3058622
671,26.9220479,-80.305862
672,26.922049,-80.305862
673,26.92205,-80.3058619
674,26.922051,-80.3058617
675,26.922052,-80.3058617
676,26.922053,-80.3058616
677,26.922054,-80.3058614
678,26.922055,-80.3058613
679,26.922056,-80.3058612
680,26.922057,-80.305861
681,26.922058,-80.305861
682,26.922059,-80.3058609
683,26.92206,-80.3058608
684,26.922061,-80.3058606
685,26.922062,-80.3058605
686,26.922063,-80.3058604
687,26.922064,-80.3058603
688,26.922065,-80.3058602
689,26.922066,-80.3058601
690,26.922067,-80.30586
691,26.922068,-80.3058599
692,26.922069,-80.3058598
693,26.92207,-80.3058597
694,26.922071,-80.3058596
695,26.922072,-80.3058595
696,26.9220731,-80.3058594
697,26.9220741,-80.3058593
698,26.9220751,-80.3058592
699,26.9220761,-80.305859
700,26.9220771,-80.3058589
701,26.9220781,-80.3058588
702,26.9220791,-80.3058587
703,26.9220801,-80.3058586
704,26.9220811,-80.3058585
705,26.9220822,-80.3058584
706,26.9220832,-80.3058583
707,26.9220842,-80.3058582
708,26.9220853,-80.3058581
709,26.9220863,-80.305858
710,26.9220873,-80.3058579
